timestamp,layer_name,loss,val_loss,grad_norm,learning_rate,effective_rank,representation_variance,collapse_score
step_0,hidden_0,15.014897346496582,14.075506210327148,8.854447515147168,0.001,9.675590770642142,0.11982988819765118,0.10335286223909125
step_0,hidden_1,15.014897346496582,14.075506210327148,8.854447515147168,0.001,7.328952849019018,0.01556106527415525,0.1364451403359554
step_1,hidden_0,14.916034698486328,13.989912986755371,8.870261493065398,0.001,9.676045162939882,0.11970003333095285,0.10334800873295728
step_1,hidden_1,14.916034698486328,13.989912986755371,8.870261493065398,0.001,7.221624622390391,0.01596110304056769,0.13847299635313853
step_2,hidden_0,14.818109512329102,13.904943466186523,8.863784771586062,0.001,9.676485479710548,0.11957734812432821,0.10334330600679131
step_2,hidden_1,14.818109512329102,13.904943466186523,8.863784771586062,0.001,7.117511257256974,0.016429547715809706,0.14049854841893022
step_3,hidden_0,14.720836639404297,13.82076644897461,8.865336005249093,0.001,9.676552364681415,0.11947297839597619,0.1033425916910153
step_3,hidden_1,14.720836639404297,13.82076644897461,8.865336005249093,0.001,7.015687903619351,0.01696302218272144,0.1425376974771221
step_4,hidden_0,14.624115943908691,13.737346649169922,8.843077763892353,0.001,9.676483604994784,0.11938812234913634,0.10334332602845753
step_4,hidden_1,14.624115943908691,13.737346649169922,8.843077763892353,0.001,6.913564393755141,0.01756142849801036,0.14464318881636168
step_5,hidden_0,14.528454780578613,13.654836654663086,8.827766309202593,0.001,9.676257006210175,0.11932028070610123,0.10334574612458153
step_5,hidden_1,14.528454780578613,13.654836654663086,8.827766309202593,0.001,6.809161342913453,0.01822106252456322,0.14686096416862512
step_6,hidden_0,14.433608055114746,13.573265075683594,8.83101086491453,0.001,9.675742985946677,0.11926719776875913,0.10335123632907864
step_6,hidden_1,14.433608055114746,13.573265075683594,8.83101086491453,0.001,6.7005699727191645,0.01894562965049167,0.14924103532556485
step_7,hidden_0,14.339814186096191,13.491990089416504,8.823906387730242,0.001,9.674821537857424,0.11922826285535777,0.10336107969403009
step_7,hidden_1,14.339814186096191,13.491990089416504,8.823906387730242,0.001,6.597126554551798,0.019737199303079146,0.15158114547765245
step_8,hidden_0,14.246953964233398,13.410649299621582,8.841600872009359,0.001,9.673533574673321,0.11920463727904657,0.1033748414972313
step_8,hidden_1,14.246953964233398,13.410649299621582,8.841600872009359,0.001,6.499651594052376,0.020592143462299622,0.15385440058280478
step_9,hidden_0,14.154605865478516,13.329967498779297,8.856138728687608,0.001,9.671968408564615,0.11919618197506959,0.10339157012904333
step_9,hidden_1,14.154605865478516,13.329967498779297,8.856138728687608,0.001,6.40289215437749,0.021505449362051118,0.156179422656108
step_10,hidden_0,14.062466621398926,13.249261856079102,8.908980088143492,0.001,9.670083564438533,0.11920388223189063,0.10341172269466962
step_10,hidden_1,14.062466621398926,13.249261856079102,8.908980088143492,0.001,6.3030425379921144,0.022481323949492253,0.15865353818769531
step_11,hidden_0,13.97039794921875,13.16833209991455,8.931169670921047,0.001,9.667984039087107,0.11922859566431855,0.10343417986180543
step_11,hidden_1,13.97039794921875,13.16833209991455,8.931169670921047,0.001,6.206092963139418,0.023522842708145326,0.1611319723921988
step_12,hidden_0,13.878984451293945,13.086871147155762,8.979277501877341,0.001,9.665756696880472,0.11927025971458692,0.10345801486217217
step_12,hidden_1,13.878984451293945,13.086871147155762,8.979277501877341,0.001,6.112444077006136,0.02463222716573277,0.16360067877951012
step_13,hidden_0,13.787503242492676,13.004826545715332,9.018836777671975,0.001,9.663488244908356,0.11932909764726198,0.10348230107558676
step_13,hidden_1,13.787503242492676,13.004826545715332,9.018836777671975,0.001,6.0239219726989495,0.025810573536207432,0.16600480625946112
step_14,hidden_0,13.696639060974121,12.922331809997559,9.057564436195872,0.001,9.661037334666739,0.1194067652076123,0.1035085535185436
step_14,hidden_1,13.696639060974121,12.922331809997559,9.057564436195872,0.001,5.940467469331992,0.027055773123687538,0.168336920480174
step_15,hidden_0,13.605639457702637,12.839900970458984,9.126566453938674,0.001,9.658440657966429,0.11950351973887367,0.10353638184598513
step_15,hidden_1,13.605639457702637,12.839900970458984,9.126566453938674,0.001,5.860028282269539,0.02836977440028088,0.17064764056270196
step_16,hidden_0,13.514164924621582,12.757423400878906,9.197417468136656,0.001,9.655552503527161,0.1196188557011936,0.10356735149383749
step_16,hidden_1,13.514164924621582,12.757423400878906,9.197417468136656,0.001,5.781787290063249,0.029751236810672186,0.17295689893653293
step_17,hidden_0,13.422171592712402,12.6744966506958,9.24332377414582,0.001,9.652498086009892,0.11975201347456814,0.10360012414292803
step_17,hidden_1,13.422171592712402,12.6744966506958,9.24332377414582,0.001,5.709442256685348,0.0311966058727862,0.1751484567216827
step_18,hidden_0,13.329846382141113,12.591130256652832,9.31058761223488,0.001,9.649187643603318,0.11990312623972724,0.10363566726396127
step_18,hidden_1,13.329846382141113,12.591130256652832,9.31058761223488,0.001,5.639322631433619,0.03270466671780826,0.17732626156659204
step_19,hidden_0,13.236955642700195,12.507343292236328,9.382267633140875,0.001,9.645797384493314,0.1200727723974256,0.10367209263669695
step_19,hidden_1,13.236955642700195,12.507343292236328,9.382267633140875,0.001,5.570638266219518,0.03428014630210754,0.17951264329332306
step_20,hidden_0,13.143406867980957,12.423212051391602,9.461441329637575,0.001,9.642362168609779,0.12026176891971986,0.10370902715679456
step_20,hidden_1,13.143406867980957,12.423212051391602,9.461441329637575,0.001,5.5028409887983445,0.03591991151628464,0.1817243133202673
step_21,hidden_0,13.048840522766113,12.338268280029297,9.529666708913652,0.001,9.638642623517216,0.12046872830604173,0.10374904839402503
step_21,hidden_1,13.048840522766113,12.338268280029297,9.529666708913652,0.001,5.4376449583609725,0.03762414314266233,0.1839031433014748
step_22,hidden_0,12.953113555908203,12.252431869506836,9.604014957644212,0.001,9.63464776020463,0.12069348083114956,0.103792066392966
step_22,hidden_1,12.953113555908203,12.252431869506836,9.604014957644212,0.001,5.37571065245281,0.039396401422302434,0.18602191684995614
step_23,hidden_0,12.856539726257324,12.165640830993652,9.681901587976782,0.001,9.630598735890471,0.1209371498835028,0.10383570403294737
step_23,hidden_1,12.856539726257324,12.165640830993652,9.681901587976782,0.001,5.31602769479206,0.04123814732214181,0.18811038192665314
step_24,hidden_0,12.758975982666016,12.07751178741455,9.75713641821587,0.001,9.626598160040057,0.12120234262008032,0.10387885558067575
step_24,hidden_1,12.758975982666016,12.07751178741455,9.75713641821587,0.001,5.258065868070868,0.04314679362162712,0.19018400018006812
step_25,hidden_0,12.660234451293945,11.98835563659668,9.841103135238173,0.001,9.622564246687066,0.12148953643083729,0.10392240304805324
step_25,hidden_1,12.660234451293945,11.98835563659668,9.841103135238173,0.001,5.2005660842420625,0.04513103763517231,0.1922867595183614
step_26,hidden_0,12.560856819152832,11.89844036102295,9.917622457395028,0.001,9.61842252196629,0.12179763378842948,0.1039671523803646
step_26,hidden_1,12.560856819152832,11.89844036102295,9.917622457395028,0.001,5.143356482055752,0.04719214590500341,0.19442556694034735
step_27,hidden_0,12.460151672363281,11.80786418914795,10.010095470237202,0.001,9.614115069339611,0.12212622746495193,0.10401373322325853
step_27,hidden_1,12.460151672363281,11.80786418914795,10.010095470237202,0.001,5.0856164341940975,0.049330836545595586,0.19663299679392102
step_28,hidden_0,12.35838508605957,11.71642780303955,10.07869299786206,0.001,9.609798730301618,0.12247792910520047,0.10406045205159188
step_28,hidden_1,12.35838508605957,11.71642780303955,10.07869299786206,0.001,5.028698874453189,0.051547176786033384,0.19885859642147255
step_29,hidden_0,12.255950927734375,11.623847961425781,10.152433923969806,0.001,9.605569090910564,0.12285338270168021,0.10410627319793757
step_29,hidden_1,12.255950927734375,11.623847961425781,10.152433923969806,0.001,4.972650102902779,0.0538445095121637,0.20110001293198793
step_30,hidden_0,12.152466773986816,11.530299186706543,10.238547287757465,0.001,9.601371275261107,0.12325229904388416,0.1041517895028807
step_30,hidden_1,12.152466773986816,11.530299186706543,10.238547287757465,0.001,4.916188210425122,0.0562188977427781,0.2034096249365372
step_31,hidden_0,12.047625541687012,11.435815811157227,10.326244696323156,0.001,9.597061226508853,0.12367488559613612,0.10419856416439395
step_31,hidden_1,12.047625541687012,11.435815811157227,10.326244696323156,0.001,4.8599637506812225,0.05867941945857577,0.20576285159736626
step_32,hidden_0,11.941594123840332,11.3402681350708,10.404204276622428,0.001,9.59290085199343,0.12412215663792017,0.10424375435843239
step_32,hidden_1,11.941594123840332,11.3402681350708,10.404204276622428,0.001,4.803130254855397,0.06122730729876646,0.20819756012011506
step_33,hidden_0,11.834507942199707,11.243691444396973,10.488103992592844,0.001,9.588810417708961,0.12459348171963722,0.10428822308898338
step_33,hidden_1,11.834507942199707,11.243691444396973,10.488103992592844,0.001,4.744513993077294,0.06385836978779622,0.21076974405789445
step_34,hidden_0,11.726181983947754,11.145833969116211,10.573634484846517,0.001,9.584744916567825,0.12508821785594518,0.10433245837053401
step_34,hidden_1,11.726181983947754,11.145833969116211,10.573634484846517,0.001,4.684097432760232,0.06657441069211542,0.21348830043672315
step_35,hidden_0,11.616506576538086,11.046794891357422,10.664484294533503,0.001,9.580565252676609,0.1256063287334862,0.1043779749551438
step_35,hidden_1,11.616506576538086,11.046794891357422,10.664484294533503,0.001,4.623246606716253,0.069377857836689,0.21629821747931127
step_36,hidden_0,11.505267143249512,10.946564674377441,10.757036747365202,0.001,9.576357559734607,0.1261481422711499,0.10442383690900044
step_36,hidden_1,11.505267143249512,10.946564674377441,10.757036747365202,0.001,4.562410413222576,0.0722742685518846,0.21918238593832862
step_37,hidden_0,11.392800331115723,10.845139503479004,10.844205775495904,0.001,9.572141236543608,0.1267137173630669,0.10446983337252645
step_37,hidden_1,11.392800331115723,10.845139503479004,10.844205775495904,0.001,4.500348257851204,0.07526373352432854,0.22220502563449906
step_38,hidden_0,11.278877258300781,10.742565155029297,10.935761088672658,0.001,9.567927071315728,0.12730299538673767,0.10451584680217317
step_38,hidden_1,11.278877258300781,10.742565155029297,10.935761088672658,0.001,4.438601717483271,0.07835441821992223,0.22529617741125224
step_39,hidden_0,11.163520812988281,10.638811111450195,11.025930863306305,0.001,9.563825301921273,0.12791637064798242,0.10456067195195529
step_39,hidden_1,11.163520812988281,10.638811111450195,11.025930863306305,0.001,4.375704447761995,0.08154225327327926,0.22853463069505564
step_40,hidden_0,11.046647071838379,10.533965110778809,11.112878828975035,0.001,9.559793445933408,0.1285537595996684,0.1046047705586552
step_40,hidden_1,11.046647071838379,10.533965110778809,11.112878828975035,0.001,4.311438966815402,0.08482928654201966,0.2319411239952306
step_41,hidden_0,10.928345680236816,10.427927017211914,11.201484127183827,0.001,9.555616172396542,0.12921440976664972,0.10465049892739682
step_41,hidden_1,10.928345680236816,10.427927017211914,11.201484127183827,0.001,4.247315174975089,0.08822247781590022,0.23544285243815585
step_42,hidden_0,10.80859088897705,10.320720672607422,11.288705656932484,0.001,9.551473239103036,0.12989878429405585,0.10469589088163624
step_42,hidden_1,10.80859088897705,10.320720672607422,11.288705656932484,0.001,4.183328468862896,0.09172301759242622,0.23904410266684556
step_43,hidden_0,10.687376976013184,10.212265968322754,11.377649396759093,0.001,9.547336490905751,0.130606609975578,0.10474125437524309
step_43,hidden_1,10.687376976013184,10.212265968322754,11.377649396759093,0.001,4.119713940252078,0.09533516568208024,0.24273530019387993
step_44,hidden_0,10.564702033996582,10.102678298950195,11.464762748978531,0.001,9.54320293917269,0.13133819821041415,0.10478662209887898
step_44,hidden_1,10.564702033996582,10.102678298950195,11.464762748978531,0.001,4.056277791739628,0.09906255434669373,0.24653143875807554
step_45,hidden_0,10.440566062927246,9.992059707641602,11.551799223463455,0.001,9.538925179157776,0.13209297477608165,0.10483361397833015
step_45,hidden_1,10.440566062927246,9.992059707641602,11.551799223463455,0.001,3.9912273978428816,0.10290215047413095,0.2505494927551522
step_46,hidden_0,10.31494140625,9.88027572631836,11.637619571157607,0.001,9.5345658079351,0.13287090156235204,0.10488154575090922
step_46,hidden_1,10.31494140625,9.88027572631836,11.637619571157607,0.001,3.9247370722749215,0.10686128099237945,0.254794138202069
step_47,hidden_0,10.187854766845703,9.767215728759766,11.72239850640345,0.001,9.529924428383,0.1336705435870771,0.10493262643528392
step_47,hidden_1,10.187854766845703,9.767215728759766,11.72239850640345,0.001,3.8572776131463855,0.11094689574883936,0.25925020190193127
step_48,hidden_0,10.059308052062988,9.652955055236816,11.806561069448238,0.001,9.525158494923911,0.1344922090256522,0.10498512969972246
step_48,hidden_1,10.059308052062988,9.652955055236816,11.806561069448238,0.001,3.788358113819152,0.11515945831013441,0.26396659712612847
step_49,hidden_0,9.929344177246094,9.537503242492676,11.890345859829804,0.001,9.520259919316898,0.13533565813637674,0.10503914898068796
step_49,hidden_1,9.929344177246094,9.537503242492676,11.890345859829804,0.001,3.7198653836133397,0.1195080364459724,0.2688269323952355
step_50,hidden_0,9.797924041748047,9.420938491821289,11.972590894076216,0.001,9.515280240771878,0.13620116710980867,0.1050941196366572
step_50,hidden_1,9.797924041748047,9.420938491821289,11.972590894076216,0.001,3.6522963619104223,0.12399857621663951,0.273800343923056
step_51,hidden_0,9.66506290435791,9.303265571594238,12.051716468570206,0.001,9.510232364181988,0.13708861371066416,0.10514990188528521
step_51,hidden_1,9.66506290435791,9.303265571594238,12.051716468570206,0.001,3.5851866192963024,0.12863286118137263,0.2789255082616255
step_52,hidden_0,9.530950546264648,9.1844482421875,12.128319468553709,0.001,9.505032547451835,0.13799750624822707,0.10520742512008398
step_52,hidden_1,9.530950546264648,9.1844482421875,12.128319468553709,0.001,3.5176126451728083,0.13341102970605165,0.2842837176436388
step_53,hidden_0,9.395501136779785,9.064643859863281,12.204205346152191,0.001,9.499644766823423,0.13892698799909797,0.1052670941436044
step_53,hidden_1,9.395501136779785,9.064643859863281,12.204205346152191,0.001,3.451152960852713,0.13834395782210923,0.28975823770874515
step_54,hidden_0,9.258683204650879,8.943860054016113,12.27879079097569,0.001,9.49416770771839,0.1398775511062875,0.10532782133046152
step_54,hidden_1,9.258683204650879,8.943860054016113,12.27879079097569,0.001,3.385960386019025,0.14343349903470137,0.29533718236311973
step_55,hidden_0,9.120630264282227,8.822102546691895,12.348430797163266,0.001,9.488560200007747,0.14084834424694095,0.10539006750457078
step_55,hidden_1,9.120630264282227,8.822102546691895,12.348430797163266,0.001,3.3218750065474683,0.1486825539347435,0.30103480655623227
step_56,hidden_0,8.981363296508789,8.699355125427246,12.41743539832565,0.001,9.482747056080315,0.14183869093779444,0.10545467406080418
step_56,hidden_1,8.981363296508789,8.699355125427246,12.41743539832565,0.001,3.259163116281254,0.15409869037599477,0.30682723273482937
step_57,hidden_0,8.840836524963379,8.57568073272705,12.484022119178634,0.001,9.476604058904062,0.1428478809166649,0.10552303270077179
step_57,hidden_1,8.840836524963379,8.57568073272705,12.484022119178634,0.001,3.197949300861354,0.15968679226581314,0.31270039200767014
step_58,hidden_0,8.699130058288574,8.45110034942627,12.545908959310184,0.001,9.470230681847228,0.1438751196555116,0.1055940487190903
step_58,hidden_1,8.699130058288574,8.45110034942627,12.545908959310184,0.001,3.138223602282687,0.1654513596491811,0.31865160891423355
step_59,hidden_0,8.55636978149414,8.325675010681152,12.6036767214167,0.001,9.463651399342302,0.144919931324032,0.10566745939833512
step_59,hidden_1,8.55636978149414,8.325675010681152,12.6036767214167,0.001,3.0797763121969917,0.17139147819470751,0.32469890622888753
step_60,hidden_0,8.412618637084961,8.199532508850098,12.657769846639875,0.001,9.45706933172401,0.14598332517963145,0.10574100336194758
step_60,hidden_1,8.412618637084961,8.199532508850098,12.657769846639875,0.001,3.0229464803405044,0.177510071670235,0.3308030778921895
step_61,hidden_0,8.267928123474121,8.072734832763672,12.707491001152151,0.001,9.450386726183188,0.1470645103206494,0.10581577547820405
step_61,hidden_1,8.267928123474121,8.072734832763672,12.707491001152151,0.001,2.9678004384106216,0.18381111638011732,0.33694987946546057
step_62,hidden_0,8.122434616088867,7.945242404937744,12.75206461860733,0.001,9.443589876377564,0.14816221035553856,0.10589193443283952
step_62,hidden_1,8.122434616088867,7.945242404937744,12.75206461860733,0.001,2.914363360283962,0.1902994524769097,0.34312811285912015
step_63,hidden_0,7.976183891296387,7.817169189453125,12.792734640306357,0.001,9.436725499876598,0.14927655644923135,0.10596896137469261
step_63,hidden_1,7.976183891296387,7.817169189453125,12.792734640306357,0.001,2.8625917684327553,0.19697787054940893,0.34933377892981626
step_64,hidden_0,7.829236030578613,7.688620567321777,12.8284599616262,0.001,9.42991502971421,0.15040753247026348,0.10604549424347325
step_64,hidden_1,7.829236030578613,7.688620567321777,12.8284599616262,0.001,2.8124545710779585,0.20384686422602236,0.35556129876143017
step_65,hidden_0,7.681754112243652,7.559632778167725,12.858036184691372,0.001,9.423146069011406,0.1515549403160041,0.10612167026557738
step_65,hidden_1,7.681754112243652,7.559632778167725,12.858036184691372,0.001,2.763936452817489,0.2109099439521006,0.3618028189398582
step_66,hidden_0,7.53373908996582,7.43039083480835,12.883040311242958,0.001,9.416444689254234,0.1527186071376161,0.10619719363308852
step_66,hidden_1,7.53373908996582,7.43039083480835,12.883040311242958,0.001,2.717080308366386,0.21816643715633802,0.3680421211404085
step_67,hidden_0,7.385261058807373,7.300887584686279,12.901903713472226,0.001,9.409766043425087,0.15389785077855353,0.10627256781785058
step_67,hidden_1,7.385261058807373,7.300887584686279,12.901903713472226,0.001,2.6718146199225683,0.2256200780784976,0.3742774639166324
step_68,hidden_0,7.236443996429443,7.171142578125,12.914990964475146,0.001,9.403006250128545,0.15509089073247362,0.10634896685156722
step_68,hidden_1,7.236443996429443,7.171142578125,12.914990964475146,0.001,2.6281031247851208,0.2332739789074909,0.3805025725852223
step_69,hidden_0,7.087383270263672,7.04130744934082,12.922226273413974,0.001,9.396217528010103,0.15629803866311454,0.10642580347027963
step_69,hidden_1,7.087383270263672,7.04130744934082,12.922226273413974,0.001,2.5859055852888635,0.24112766104887493,0.3867117212975481
step_70,hidden_0,6.938176155090332,6.911459445953369,12.9227957213653,0.001,9.38949918893672,0.15751867864391148,0.10650195286009087
step_70,hidden_1,6.938176155090332,6.911459445953369,12.9227957213653,0.001,2.54519825443622,0.24918325374892214,0.39289670195908066
step_71,hidden_0,6.788887977600098,6.781685829162598,12.917646832857576,0.001,9.382825132933291,0.15875148842614084,0.10657770829491911
step_71,hidden_1,6.788887977600098,6.781685829162598,12.917646832857576,0.001,2.5059637016052956,0.2574420147613417,0.39904807853338414
step_72,hidden_0,6.639700889587402,6.6520867347717285,12.904104398051444,0.001,9.376206496537055,0.1599959262492611,0.10665294118355151
step_72,hidden_1,6.639700889587402,6.6520867347717285,12.904104398051444,0.001,2.4680935720974295,0.2659028879518011,0.4051710240265252
step_73,hidden_0,6.490740776062012,6.522810459136963,12.88317842306241,0.001,9.369730932654326,0.1612522520532662,0.10672665065705496
step_73,hidden_1,6.490740776062012,6.522810459136963,12.88317842306241,0.001,2.4315618577824303,0.27456434896837806,0.41125830165472077
step_74,hidden_0,6.342093467712402,6.393938064575195,12.854924471649975,0.001,9.363347427811878,0.16251898821593957,0.10679941203823196
step_74,hidden_1,6.342093467712402,6.393938064575195,12.854924471649975,0.001,2.396341656520588,0.2834268405953744,0.4173027653544062
step_75,hidden_0,6.193921089172363,6.265554428100586,12.818601295311923,0.001,9.356959231288059,0.16379478055544092,0.10687232628482257
step_75,hidden_1,6.193921089172363,6.265554428100586,12.818601295311923,0.001,2.362400716664859,0.2924915420319502,0.42329821225746966
step_76,hidden_0,6.046380519866943,6.137725353240967,12.774307619140101,0.001,9.350498325332037,0.165078679306312,0.10694617176614381
step_76,hidden_1,6.046380519866943,6.137725353240967,12.774307619140101,0.001,2.3296282593247635,0.3017600568761328,0.4292530346836741
step_77,hidden_0,5.899576187133789,6.010626792907715,12.721288760941814,0.001,9.344129580750055,0.16637051265354855,0.10701906382592458
step_77,hidden_1,5.899576187133789,6.010626792907715,12.721288760941814,0.001,2.298057662314177,0.3112267482708342,0.43515009061738935
step_78,hidden_0,5.753698825836182,5.884362697601318,12.65936408697006,0.001,9.337875234648417,0.16766975420176827,0.10709074332986109
step_78,hidden_1,5.753698825836182,5.884362697601318,12.65936408697006,0.001,2.2676340424048127,0.3208890244027602,0.4409882641113933
step_79,hidden_0,5.608874320983887,5.759047985076904,12.58928450411335,0.001,9.331690233216824,0.1689755903489717,0.10716172258273511
step_79,hidden_1,5.608874320983887,5.759047985076904,12.58928450411335,0.001,2.238333814026096,0.3307456402989182,0.4467608869301303
step_80,hidden_0,5.465188503265381,5.634749889373779,12.511488479569994,0.001,9.325487745303738,0.17028590550981207,0.10723299706265704
step_80,hidden_1,5.465188503265381,5.634749889373779,12.511488479569994,0.001,2.2101391421652576,0.34079503825961555,0.45246020077283783
step_81,hidden_0,5.3228044509887695,5.511577129364014,12.42333232056938,0.001,9.319454990699782,0.17160092096750656,0.107302412104349
step_81,hidden_1,5.3228044509887695,5.511577129364014,12.42333232056938,0.001,2.182964240360669,0.35103376598245745,0.45809270784700545
step_82,hidden_0,5.181859970092773,5.389620780944824,12.326953128946972,0.001,9.313588797492764,0.17291957563184815,0.10736999686621358
step_82,hidden_1,5.181859970092773,5.389620780944824,12.326953128946972,0.001,2.1567886526823496,0.3614594087846759,0.4636522909912023
step_83,hidden_0,5.042479038238525,5.2690110206604,12.220901910242944,0.001,9.307888703435886,0.17424076105393424,0.10743574959494982
step_83,hidden_1,5.042479038238525,5.2690110206604,12.220901910242944,0.001,2.131633602289024,0.3720641126404614,0.4691237738634653
step_84,hidden_0,4.904801845550537,5.1498799324035645,12.106285142253844,0.001,9.302320407356456,0.1755634342369271,0.10750005979252021
step_84,hidden_1,4.904801845550537,5.1498799324035645,12.106285142253844,0.001,2.107450960975402,0.3828441858651284,0.4745068893736749
step_85,hidden_0,4.768934726715088,5.032321929931641,11.981493381303702,0.001,9.29692479469402,0.1768862759772609,0.10756244909830014
step_85,hidden_1,4.768934726715088,5.032321929931641,11.981493381303702,0.001,2.084201258603641,0.3937926550106779,0.4798001132913494
step_86,hidden_0,4.635031223297119,4.916350841522217,11.848236012734079,0.001,9.291497306592207,0.17820665144244088,0.1076252800816626
step_86,hidden_1,4.635031223297119,4.916350841522217,11.848236012734079,0.001,2.0618389162784134,0.40490656845242073,0.4850039409504328
step_87,hidden_0,4.5032501220703125,4.802196502685547,11.70443615000378,0.001,9.286285592598619,0.17952544419713537,0.10768568229228517
step_87,hidden_1,4.5032501220703125,4.802196502685547,11.70443615000378,0.001,2.0403788640537175,0.4161702542561993,0.49010505726042103
step_88,hidden_0,4.373768329620361,4.689985275268555,11.551391398632495,0.001,9.281320771518681,0.18084166373650257,0.10774328617847914
step_88,hidden_1,4.373768329620361,4.689985275268555,11.551391398632495,0.001,2.019743042334743,0.4275767900957561,0.49511248660821705
step_89,hidden_0,4.246740341186523,4.579716682434082,11.389306039737127,0.001,9.27640806322457,0.1821526239440011,0.1078003461236687
