timestamp,loss,val_loss,grad_norm,learning_rate,train_val_gap,output_variance
step_0,15.014897346496582,14.075506210327148,8.854447515147168,0.001,-0.9393911361694336,0.004594439174979925
step_1,14.916034698486328,13.989912986755371,8.870261493065398,0.001,-0.926121711730957,0.004523133859038353
step_2,14.818109512329102,13.904943466186523,8.863784771586062,0.001,-0.9131660461425781,0.004468997940421104
step_3,14.720836639404297,13.82076644897461,8.865336005249093,0.001,-0.9000701904296875,0.004442657809704542
step_4,14.624115943908691,13.737346649169922,8.843077763892353,0.001,-0.8867692947387695,0.004445238970220089
step_5,14.528454780578613,13.654836654663086,8.827766309202593,0.001,-0.8736181259155273,0.004480408504605293
step_6,14.433608055114746,13.573265075683594,8.83101086491453,0.001,-0.8603429794311523,0.004539347253739834
step_7,14.339814186096191,13.491990089416504,8.823906387730242,0.001,-0.8478240966796875,0.00462042773142457
step_8,14.246953964233398,13.410649299621582,8.841600872009359,0.001,-0.8363046646118164,0.004707240499556065
step_9,14.154605865478516,13.329967498779297,8.856138728687608,0.001,-0.8246383666992188,0.004807593766599894
step_10,14.062466621398926,13.249261856079102,8.908980088143492,0.001,-0.8132047653198242,0.004930912517011166
step_11,13.97039794921875,13.16833209991455,8.931169670921047,0.001,-0.8020658493041992,0.005079398397356272
step_12,13.878984451293945,13.086871147155762,8.979277501877341,0.001,-0.7921133041381836,0.005255508236587048
step_13,13.787503242492676,13.004826545715332,9.018836777671975,0.001,-0.7826766967773438,0.00546254264190793
step_14,13.696639060974121,12.922331809997559,9.057564436195872,0.001,-0.7743072509765625,0.005701507441699505
step_15,13.605639457702637,12.839900970458984,9.126566453938674,0.001,-0.7657384872436523,0.005977027118206024
step_16,13.514164924621582,12.757423400878906,9.197417468136656,0.001,-0.7567415237426758,0.00628247344866395
step_17,13.422171592712402,12.6744966506958,9.24332377414582,0.001,-0.7476749420166016,0.006616381462663412
step_18,13.329846382141113,12.591130256652832,9.31058761223488,0.001,-0.7387161254882812,0.006982729304581881
step_19,13.236955642700195,12.507343292236328,9.382267633140875,0.001,-0.7296123504638672,0.007392928935587406
step_20,13.143406867980957,12.423212051391602,9.461441329637575,0.001,-0.7201948165893555,0.007840121164917946
step_21,13.048840522766113,12.338268280029297,9.529666708913652,0.001,-0.7105722427368164,0.008331160061061382
step_22,12.953113555908203,12.252431869506836,9.604014957644212,0.001,-0.7006816864013672,0.008861913345754147
step_23,12.856539726257324,12.165640830993652,9.681901587976782,0.001,-0.6908988952636719,0.009445000439882278
step_24,12.758975982666016,12.07751178741455,9.75713641821587,0.001,-0.6814641952514648,0.01008524838835001
step_25,12.660234451293945,11.98835563659668,9.841103135238173,0.001,-0.6718788146972656,0.01077519915997982
step_26,12.560856819152832,11.89844036102295,9.917622457395028,0.001,-0.6624164581298828,0.011523297056555748
step_27,12.460151672363281,11.80786418914795,10.010095470237202,0.001,-0.652287483215332,0.012328465469181538
step_28,12.35838508605957,11.71642780303955,10.07869299786206,0.001,-0.6419572830200195,0.013192621059715748
step_29,12.255950927734375,11.623847961425781,10.152433923969806,0.001,-0.6321029663085938,0.014125071465969086
step_30,12.152466773986816,11.530299186706543,10.238547287757465,0.001,-0.6221675872802734,0.015125001780688763
step_31,12.047625541687012,11.435815811157227,10.326244696323156,0.001,-0.6118097305297852,0.01619388721883297
step_32,11.941594123840332,11.3402681350708,10.404204276622428,0.001,-0.6013259887695312,0.01734105870127678
step_33,11.834507942199707,11.243691444396973,10.488103992592844,0.001,-0.5908164978027344,0.01856953464448452
step_34,11.726181983947754,11.145833969116211,10.573634484846517,0.001,-0.580348014831543,0.01988435536623001
step_35,11.616506576538086,11.046794891357422,10.664484294533503,0.001,-0.5697116851806641,0.021282067522406578
step_36,11.505267143249512,10.946564674377441,10.757036747365202,0.001,-0.5587024688720703,0.022769009694457054
step_37,11.392800331115723,10.845139503479004,10.844205775495904,0.001,-0.5476608276367188,0.02436119131743908
step_38,11.278877258300781,10.742565155029297,10.935761088672658,0.001,-0.5363121032714844,0.026057172566652298
step_39,11.163520812988281,10.638811111450195,11.025930863306305,0.001,-0.5247097015380859,0.027860915288329124
step_40,11.046647071838379,10.533965110778809,11.112878828975035,0.001,-0.5126819610595703,0.029779136180877686
step_41,10.928345680236816,10.427927017211914,11.201484127183827,0.001,-0.5004186630249023,0.03181736171245575
step_42,10.80859088897705,10.320720672607422,11.288705656932484,0.001,-0.4878702163696289,0.03398149088025093
step_43,10.687376976013184,10.212265968322754,11.377649396759093,0.001,-0.4751110076904297,0.03627697750926018
step_44,10.564702033996582,10.102678298950195,11.464762748978531,0.001,-0.4620237350463867,0.038707297295331955
step_45,10.440566062927246,9.992059707641602,11.551799223463455,0.001,-0.44850635528564453,0.041282445192337036
step_46,10.31494140625,9.88027572631836,11.637619571157607,0.001,-0.4346656799316406,0.04401412978768349
