seed,condition,timestamp,layer_name,loss,val_loss,grad_norm,learning_rate,effective_rank,representation_variance,collapse_score
70,normal,step_3,layer_0,1.6066772937774658,1.5154469013214111,3.659360885620117,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
70,normal,step_3,layer_1,1.6066772937774658,1.5154469013214111,3.659360885620117,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
70,normal,step_3,layer_2,1.6066772937774658,1.5154469013214111,3.659360885620117,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
70,normal,step_3,layer_3,1.6066772937774658,1.5154469013214111,3.659360885620117,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
70,normal,step_3,layer_4,1.6066772937774658,1.5154469013214111,3.659360885620117,2e-05,11.301748008730618,0.27087350551526196,0.08848188786615119
70,normal,step_3,layer_5,1.6066772937774658,1.5154469013214111,3.659360885620117,2e-05,10.37961908298898,0.32618854074622683,0.09634264918631617
70,normal,step_3,layer_6,1.6066772937774658,1.5154469013214111,3.659360885620117,2e-05,10.920073190933977,0.08581341928710222,0.09157447780022357
70,normal,step_6,layer_0,1.458193063735962,1.3820823431015015,2.963897943496704,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
70,normal,step_6,layer_1,1.458193063735962,1.3820823431015015,2.963897943496704,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
70,normal,step_6,layer_2,1.458193063735962,1.3820823431015015,2.963897943496704,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
70,normal,step_6,layer_3,1.458193063735962,1.3820823431015015,2.963897943496704,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
70,normal,step_6,layer_4,1.458193063735962,1.3820823431015015,2.963897943496704,2e-05,11.233805645607784,0.27045919389601414,0.08901702873869657
70,normal,step_6,layer_5,1.458193063735962,1.3820823431015015,2.963897943496704,2e-05,10.011797100473418,0.3242048920934493,0.09988216800285675
70,normal,step_6,layer_6,1.458193063735962,1.3820823431015015,2.963897943496704,2e-05,9.66812135859853,0.0926869094127178,0.1034327107520874
70,normal,step_9,layer_0,1.2760179042816162,1.2268866300582886,3.549159049987793,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
70,normal,step_9,layer_1,1.2760179042816162,1.2268866300582886,3.549159049987793,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
70,normal,step_9,layer_2,1.2760179042816162,1.2268866300582886,3.549159049987793,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
70,normal,step_9,layer_3,1.2760179042816162,1.2268866300582886,3.549159049987793,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
70,normal,step_9,layer_4,1.2760179042816162,1.2268866300582886,3.549159049987793,2e-05,11.132764138090701,0.2696709376126941,0.08982495161093951
70,normal,step_9,layer_5,1.2760179042816162,1.2268866300582886,3.549159049987793,2e-05,9.461440559645379,0.31714136491645406,0.1056921505447243
70,normal,step_9,layer_6,1.2760179042816162,1.2268866300582886,3.549159049987793,2e-05,8.062788204645651,0.10936734890402329,0.12402657425923899
70,normal,step_12,layer_0,1.078235387802124,1.0538443326950073,3.641514301300049,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
