seed,condition,timestamp,layer_name,nc1_ratio,centroid_effective_rank,fisher_ratio,etf_deviation,validation_accuracy
54,normal,2026-06-29 21:01:52,layer_0,0.3717254400253296,3.8899597351625754,1.6901574103076964,1.5803288221359253,0.6075000166893005
54,normal,2026-06-29 21:01:52,layer_1,0.3065461218357086,3.8737031284332577,2.262151728357188,1.8215274810791016,0.6075000166893005
54,normal,2026-06-29 21:01:52,layer_2,0.30070552229881287,3.887737876667672,2.325512780562477,1.9556758403778076,0.6075000166893005
54,normal,2026-06-29 21:01:52,layer_3,0.27469614148139954,3.9049124170767384,2.640385793399708,2.036505937576294,0.6075000166893005
54,normal,2026-06-29 21:01:52,layer_4,0.2150595784187317,3.889514783216012,3.6498739220185996,2.0455827713012695,0.6075000166893005
54,normal,2026-06-29 21:01:52,layer_5,0.2007714807987213,3.806465803111317,3.980786828022813,1.9862377643585205,0.6075000166893005
54,normal,2026-06-29 21:01:52,layer_6,0.22432799637317657,3.762856722684844,3.4577579634017126,1.6509002447128296,0.6075000166893005
54,normal,2026-06-29 21:03:42,layer_0,0.3717254400253296,3.8899597351625754,1.6901574103076964,1.5803288221359253,0.9125000238418579
54,normal,2026-06-29 21:03:42,layer_1,0.3065461218357086,3.8737031284332577,2.262151728357188,1.8215274810791016,0.9125000238418579
54,normal,2026-06-29 21:03:42,layer_2,0.30070552229881287,3.887737876667672,2.325512780562477,1.9556758403778076,0.9125000238418579
54,normal,2026-06-29 21:03:42,layer_3,0.27469614148139954,3.9049124170767384,2.640385793399708,2.036505937576294,0.9125000238418579
54,normal,2026-06-29 21:03:42,layer_4,0.2138652205467224,3.8911443322165615,3.6758420546593538,2.0429327487945557,0.9125000238418579
54,normal,2026-06-29 21:03:42,layer_5,0.19617009162902832,3.801429269555611,4.0976174851458005,1.9671401977539062,0.9125000238418579
54,normal,2026-06-29 21:03:42,layer_6,0.20944032073020935,3.694324575803505,3.7746299066812092,1.6004682779312134,0.9125000238418579
54,normal,2026-06-29 21:07:25,layer_0,0.3717254400253296,3.8899597351625754,1.6901574103076964,1.5803288221359253,0.9725000262260437
54,normal,2026-06-29 21:07:25,layer_1,0.3065461218357086,3.8737031284332577,2.262151728357188,1.8215274810791016,0.9725000262260437
54,normal,2026-06-29 21:07:25,layer_2,0.30070552229881287,3.887737876667672,2.325512780562477,1.9556758403778076,0.9725000262260437
54,normal,2026-06-29 21:07:25,layer_3,0.27469614148139954,3.9049124170767384,2.640385793399708,2.036505937576294,0.9725000262260437
54,normal,2026-06-29 21:07:25,layer_4,0.21176499128341675,3.8911533558831333,3.722215845019944,2.03928279876709,0.9725000262260437
54,normal,2026-06-29 21:07:25,layer_5,0.1864701807498932,3.7759266556162325,4.362788219439503,1.931955337524414,0.9725000262260437
54,normal,2026-06-29 21:07:25,layer_6,0.18275834619998932,3.5449469689512605,4.471706520020274,1.523277997970581,0.9725000262260437
54,normal,2026-06-29 21:14:30,layer_0,0.3717254400253296,3.8899597351625754,1.6901574103076964,1.5803288221359253,1.0
54,normal,2026-06-29 21:14:30,layer_1,0.3065461218357086,3.8737031284332577,2.262151728357188,1.8215274810791016,1.0
54,normal,2026-06-29 21:14:30,layer_2,0.30070552229881287,3.887737876667672,2.325512780562477,1.9556758403778076,1.0
54,normal,2026-06-29 21:14:30,layer_3,0.27469614148139954,3.9049124170767384,2.640385793399708,2.036505937576294,1.0
54,normal,2026-06-29 21:14:30,layer_4,0.20920734107494354,3.891081639932381,3.779947526576755,2.0353643894195557,1.0
54,normal,2026-06-29 21:14:30,layer_5,0.17435434460639954,3.7445804560868874,4.735446858433769,1.8852916955947876,1.0
54,normal,2026-06-29 21:14:30,layer_6,0.15658284723758698,3.53572198717112,5.386395400254368,1.4402194023132324,1.0
54,normal,2026-06-29 21:16:19,layer_0,0.3717254400253296,3.8899597351625754,1.6901574103076964,1.5803288221359253,1.0
54,normal,2026-06-29 21:16:19,layer_1,0.3065461218357086,3.8737031284332577,2.262151728357188,1.8215274810791016,1.0
54,normal,2026-06-29 21:16:19,layer_2,0.30070552229881287,3.887737876667672,2.325512780562477,1.9556758403778076,1.0
54,normal,2026-06-29 21:16:19,layer_3,0.27469614148139954,3.9049124170767384,2.640385793399708,2.036505937576294,1.0
54,normal,2026-06-29 21:16:19,layer_4,0.20634669065475464,3.89160747133918,3.846213424601717,2.0314905643463135,1.0
54,normal,2026-06-29 21:16:19,layer_5,0.1621798723936081,3.728131246409776,5.1659935207531165,1.8301713466644287,1.0
54,normal,2026-06-29 21:16:19,layer_6,0.1392745077610016,3.687369347583508,6.180065356988243,1.3603953123092651,1.0
54,normal,2026-06-29 21:19:57,layer_0,0.3717254400253296,3.8899597351625754,1.6901574103076964,1.5803288221359253,1.0
54,normal,2026-06-29 21:19:57,layer_1,0.3065461218357086,3.8737031284332577,2.262151728357188,1.8215274810791016,1.0
54,normal,2026-06-29 21:19:57,layer_2,0.30070552229881287,3.887737876667672,2.325512780562477,1.9556758403778076,1.0
54,normal,2026-06-29 21:19:57,layer_3,0.27469614148139954,3.9049124170767384,2.640385793399708,2.036505937576294,1.0
54,normal,2026-06-29 21:19:57,layer_4,0.2032974809408188,3.892656928763022,3.9189002549077276,2.0277628898620605,1.0
54,normal,2026-06-29 21:19:57,layer_5,0.1506989449262619,3.7331740362274233,5.63574659459543,1.7686469554901123,1.0
54,normal,2026-06-29 21:19:57,layer_6,0.126608744263649,3.805722572614985,6.898348787325788,1.2820541858673096,1.0
54,normal,2026-06-29 21:21:12,layer_0,0.3717254400253296,3.8899597351625754,1.6901574103076964,1.5803288221359253,1.0
54,normal,2026-06-29 21:21:12,layer_1,0.3065461218357086,3.8737031284332577,2.262151728357188,1.8215274810791016,1.0
54,normal,2026-06-29 21:21:12,layer_2,0.30070552229881287,3.887737876667672,2.325512780562477,1.9556758403778076,1.0
54,normal,2026-06-29 21:21:12,layer_3,0.27469614148139954,3.9049124170767384,2.640385793399708,2.036505937576294,1.0
54,normal,2026-06-29 21:21:12,layer_4,0.20018985867500305,3.89405154284782,3.995258496245967,2.0243639945983887,1.0
54,normal,2026-06-29 21:21:12,layer_5,0.1401847004890442,3.750585980769884,6.133446204604597,1.707411766052246,1.0
54,normal,2026-06-29 21:21:12,layer_6,0.11447855085134506,3.860756009040316,7.735260658668556,1.1990082263946533,1.0
54,normal,2026-06-29 21:35:23,layer_0,0.3717254400253296,3.8899597351625754,1.6901574103076964,1.5803288221359253,1.0
54,normal,2026-06-29 21:35:23,layer_1,0.3065461218357086,3.8737031284332577,2.262151728357188,1.8215274810791016,1.0
54,normal,2026-06-29 21:35:23,layer_2,0.30070552229881287,3.887737876667672,2.325512780562477,1.9556758403778076,1.0
54,normal,2026-06-29 21:35:23,layer_3,0.27469614148139954,3.9049124170767384,2.640385793399708,2.036505937576294,1.0
54,normal,2026-06-29 21:35:23,layer_4,0.1970367729663849,3.8955199396999225,4.0751950989103145,2.021061897277832,1.0
54,normal,2026-06-29 21:35:23,layer_5,0.13025066256523132,3.7711869170457106,6.677503653594321,1.6494678258895874,1.0
54,normal,2026-06-29 21:35:23,layer_6,0.10188574343919754,3.885708538037383,8.814915226996748,1.1079270839691162,1.0
54,normal,2026-06-29 21:36:55,layer_0,0.3717254400253296,3.8899597351625754,1.6901574103076964,1.5803288221359253,1.0
54,normal,2026-06-29 21:36:55,layer_1,0.3065461218357086,3.8737031284332577,2.262151728357188,1.8215274810791016,1.0
54,normal,2026-06-29 21:36:55,layer_2,0.30070552229881287,3.887737876667672,2.325512780562477,1.9556758403778076,1.0
54,normal,2026-06-29 21:36:55,layer_3,0.27469614148139954,3.9049124170767384,2.640385793399708,2.036505937576294,1.0
54,normal,2026-06-29 21:36:55,layer_4,0.19401349127292633,3.8973385708632904,4.154280965701684,2.0179288387298584,1.0
54,normal,2026-06-29 21:36:55,layer_5,0.12132645398378372,3.7922487549039468,7.24222547609697,1.597721815109253,1.0
54,normal,2026-06-29 21:36:55,layer_6,0.08980732411146164,3.902411050275565,10.13494918091368,1.01377272605896,1.0
