timestamp,loss,val_loss,grad_norm,learning_rate
step_0,9.949637413024902,11.306848526000977,11.165833823066068,0.001
step_1,9.422024726867676,10.714341163635254,11.383750391206284,0.001
step_2,8.887386322021484,10.116004943847656,11.524804492997479,0.001
step_3,8.3504056930542,9.513760566711426,11.616727963466628,0.001
step_4,7.813906192779541,8.908230781555176,11.739806019839474,0.001
step_5,7.27630090713501,8.302074432373047,11.876250536744266,0.001
step_6,6.74164342880249,7.702575206756592,11.933340275478775,0.001
step_7,6.219401836395264,7.114446640014648,11.890847477132905,0.001
step_8,5.71401309967041,6.541569709777832,11.792597705730417,0.001
step_9,5.222015380859375,5.987331390380859,11.66269730811812,0.001
step_10,4.751561164855957,5.4577226638793945,11.335997553507324,0.001
step_11,4.3113017082214355,4.957594394683838,10.925794896400504,0.001
step_12,3.900195360183716,4.49020528793335,10.438547112772772,0.001
step_13,3.5196900367736816,4.059005260467529,9.810327023512887,0.001
step_14,3.1758906841278076,3.668550491333008,9.039602335288166,0.001
step_15,2.8720383644104004,3.321101427078247,8.168288478127613,0.001
step_16,2.6091105937957764,3.0185065269470215,7.190594807226835,0.001
step_17,2.389458179473877,2.7617249488830566,6.142267285494278,0.001
step_18,2.2127490043640137,2.5499308109283447,5.059683426931867,0.001
step_19,2.0768954753875732,2.3802785873413086,4.00886375438578,0.001
step_20,1.9780826568603516,2.2484800815582275,3.144448936845411,0.001
step_21,1.9099819660186768,2.1483490467071533,2.6803116843948525,0.001
step_22,1.865134835243225,2.073131799697876,2.7739451265232002,0.001
step_23,1.8352160453796387,2.0160584449768066,3.283255871336558,0.001
step_24,1.8117873668670654,1.9707242250442505,3.923387105270669,0.001
step_25,1.7877861261367798,1.9320968389511108,4.52418511028538,0.001
step_26,1.7576574087142944,1.896520972251892,5.0016901963281635,0.001
step_27,1.717858910560608,1.8619388341903687,5.320609493410567,0.001
step_28,1.666763424873352,1.8277325630187988,5.466303963877113,0.001
step_29,1.604685664176941,1.794256329536438,5.442966083021646,0.001
step_30,1.533501148223877,1.7627733945846558,5.2678585441943255,0.001
step_31,1.4561246633529663,1.73478364944458,4.967013215284836,0.001
step_32,1.375643014907837,1.7118902206420898,4.561680562476599,0.001
step_33,1.2949872016906738,1.6950595378875732,4.088094059512515,0.001
step_34,1.217132329940796,1.6851352453231812,3.568215012988984,0.001
step_35,1.144274353981018,1.6823556423187256,3.0424445177093316,0.001
step_36,1.0777889490127563,1.6860737800598145,2.5371911877265045,0.001
step_37,1.018730640411377,1.6956084966659546,2.080432197186748,0.001
step_38,0.967613160610199,1.709835171699524,1.7235287065114075,0.001
step_39,0.9238053560256958,1.727229356765747,1.5030816629173942,0.001
step_40,0.8868675231933594,1.7462818622589111,1.4411382657296485,0.001
step_41,0.855391800403595,1.7654904127120972,1.5046255576437577,0.001
step_42,0.8282635807991028,1.7834296226501465,1.6386928878502778,0.001
step_43,0.8044539093971252,1.799007534980774,1.7929958230479526,0.001
step_44,0.7828431725502014,1.8113559484481812,1.9321989538218869,0.001
step_45,0.7625484466552734,1.8198730945587158,2.041840506111414,0.001
step_46,0.7428667545318604,1.8243587017059326,2.1112330362697507,0.001
step_47,0.7233555912971497,1.8247084617614746,2.13886061433715,0.001
step_48,0.7038068175315857,1.8210910558700562,2.125009556888132,0.001
step_49,0.6840881109237671,1.8138113021850586,2.071533667371187,0.001
step_50,0.6643605828285217,1.8034558296203613,1.979534581959112,0.001
step_51,0.6448670625686646,1.7906233072280884,1.8592963287815096,0.001
step_52,0.6257917881011963,1.7758480310440063,1.714719222220678,0.001
step_53,0.60733962059021,1.7597750425338745,1.5519182898829529,0.001
step_54,0.5897125601768494,1.7430680990219116,1.379589221359653,0.001
step_55,0.5730770826339722,1.726302146911621,1.2100198522402061,0.001
step_56,0.5574832558631897,1.709933876991272,1.0550072602230876,0.001
step_57,0.5429386496543884,1.6943107843399048,0.927575641388798,0.001
step_58,0.5293744206428528,1.6796749830245972,0.8435010718770395,0.001
step_59,0.5167004466056824,1.6660473346710205,0.8064547747050854,0.001
step_60,0.5048759579658508,1.6535382270812988,0.8042888747569787,0.001
step_61,0.49365004897117615,1.6421279907226562,0.8348165870530272,0.001
step_62,0.4826899766921997,1.6318659782409668,0.8715316741749541,0.001
step_63,0.4718843400478363,1.6226277351379395,0.9072235438971837,0.001
step_64,0.461251825094223,1.6143124103546143,0.9273976059129945,0.001
step_65,0.4505930542945862,1.6068527698516846,0.9323945773956851,0.001
step_66,0.43992334604263306,1.600216031074524,0.9162308703381156,0.001
step_67,0.42918720841407776,1.5943045616149902,0.8862489241948139,0.001
step_68,0.41845613718032837,1.5890929698944092,0.8431117250278181,0.001
step_69,0.40782445669174194,1.5843958854675293,0.7931620102224564,0.001
step_70,0.39740103483200073,1.580051302909851,0.7406736313657367,0.001
step_71,0.3872561752796173,1.5758514404296875,0.6924478037769258,0.001
step_72,0.3774651288986206,1.5716395378112793,0.6536151437011518,0.001
step_73,0.36805424094200134,1.567236065864563,0.6276005779668935,0.001
step_74,0.35898905992507935,1.562506079673767,0.6172541245201517,0.001
step_75,0.350276380777359,1.5572923421859741,0.6190808140234373,0.001
step_76,0.34188562631607056,1.5514990091323853,0.6278882271762609,0.001
step_77,0.3337786793708801,1.5450040102005005,0.6414553261423899,0.001
step_78,0.325900137424469,1.5377966165542603,0.652582082810312,0.001
step_79,0.3182016909122467,1.5299540758132935,0.659771088725852,0.001
step_80,0.3106849491596222,1.5215073823928833,0.6609033374666409,0.001
step_81,0.3033309876918793,1.5125291347503662,0.6559658174392268,0.001
step_82,0.29611632227897644,1.5031393766403198,0.6432525994586217,0.001
step_83,0.2890961766242981,1.4935053586959839,0.6243362869186727,0.001
step_84,0.2822645902633667,1.4838299751281738,0.602999055411302,0.001
step_85,0.2756151854991913,1.4741334915161133,0.5795686944028714,0.001
step_86,0.2691775858402252,1.4646011590957642,0.5562437386040915,0.001
step_87,0.2629479765892029,1.455356240272522,0.5350988949978414,0.001
step_88,0.2569159269332886,1.4465235471725464,0.5173813679933527,0.001
step_89,0.25109925866127014,1.4382224082946777,0.5017133703747286,0.001
step_90,0.24553519487380981,1.4304873943328857,0.48815950923639223,0.001
step_91,0.2401803582906723,1.4232916831970215,0.48046940710319286,0.001
step_92,0.23496529459953308,1.416676640510559,0.4753639170898683,0.001
step_93,0.22989226877689362,1.4106745719909668,0.4684045942841277,0.001
step_94,0.22493642568588257,1.4052553176879883,0.462748997348871,0.001
step_95,0.22007779777050018,1.4003534317016602,0.4558934734003578,0.001
step_96,0.21532773971557617,1.395902395248413,0.44778890958636997,0.001
step_97,0.21068017184734344,1.3918499946594238,0.4401754608743612,0.001
step_98,0.20615103840827942,1.3880813121795654,0.43246998920671786,0.001
step_99,0.20176711678504944,1.3845351934432983,0.4235810792605931,0.001
step_100,0.19751553237438202,1.3812248706817627,0.4169338973080632,0.001
step_101,0.19337007403373718,1.3780665397644043,0.4110526720756635,0.001
step_102,0.18932804465293884,1.3748764991760254,0.4049576011879634,0.001
step_103,0.18540729582309723,1.3716137409210205,0.4024409170687853,0.001
step_104,0.1815807819366455,1.368201732635498,0.39975405322374075,0.001
step_105,0.1778341382741928,1.3645864725112915,0.39654738998931066,0.001
step_106,0.17416715621948242,1.3607217073440552,0.3929667942708824,0.001
step_107,0.17058627307415009,1.3566219806671143,0.3875446371018089,0.001
step_108,0.1670970469713211,1.3523768186569214,0.38160717828223945,0.001
step_109,0.1636764407157898,1.3480113744735718,0.3739085168599521,0.001
step_110,0.16032575070858002,1.3435345888137817,0.36545534059150164,0.001
step_111,0.15704551339149475,1.3388842344284058,0.3566872845498498,0.001
step_112,0.15383408963680267,1.3340896368026733,0.34796801667163524,0.001
step_113,0.15067747235298157,1.329199194908142,0.3396278045780585,0.001
step_114,0.14758697152137756,1.3242335319519043,0.33170543826551246,0.001
step_115,0.14456166326999664,1.3193392753601074,0.3243660859981354,0.001
step_116,0.14160998165607452,1.3145573139190674,0.3179886929361363,0.001
step_117,0.13873568177223206,1.3098210096359253,0.311230895422532,0.001
step_118,0.1359211802482605,1.305137038230896,0.30634501614738996,0.001
step_119,0.13315527141094208,1.300531268119812,0.30239773410000437,0.001
step_120,0.1304590255022049,1.2960989475250244,0.2991652856872382,0.001
step_121,0.12781594693660736,1.2918212413787842,0.29519935420713317,0.001
step_122,0.12521305680274963,1.287548542022705,0.29074744658628454,0.001
step_123,0.1226571574807167,1.2832428216934204,0.2878749399603755,0.001
step_124,0.12014123797416687,1.2788703441619873,0.28532003655717203,0.001
step_125,0.11766191571950912,1.2744131088256836,0.28253225346784083,0.001
step_126,0.11524812877178192,1.2699224948883057,0.2800238839732669,0.001
step_127,0.11287157982587814,1.265374779701233,0.2775889445223836,0.001
step_128,0.11052953451871872,1.2607166767120361,0.27550143946797256,0.001
step_129,0.10822668671607971,1.2559441328048706,0.2729457613157749,0.001
step_130,0.10596771538257599,1.2510071992874146,0.2711002366336173,0.001
step_131,0.10375235229730606,1.2458738088607788,0.2688626238520443,0.001
step_132,0.10157520323991776,1.2405881881713867,0.26563668245164196,0.001
step_133,0.09943391382694244,1.2353614568710327,0.2641908736402456,0.001
step_134,0.09731929004192352,1.2301307916641235,0.25906170843732873,0.001
step_135,0.09524142742156982,1.2248562574386597,0.2550331697145143,0.001
step_136,0.09320216625928879,1.2196018695831299,0.2523411146196463,0.001
step_137,0.09120140969753265,1.2143718004226685,0.249367797689439,0.001
step_138,0.08922798931598663,1.2091801166534424,0.24636681435059468,0.001
step_139,0.08727625757455826,1.2040350437164307,0.24335188301354543,0.001
step_140,0.08535146713256836,1.1989179849624634,0.2402928779728159,0.001
step_141,0.08347626030445099,1.1937860250473022,0.23734928042744738,0.001
step_142,0.08163335919380188,1.1886610984802246,0.23456386391905998,0.001
step_143,0.07982668280601501,1.1835403442382812,0.23250657258794682,0.001
step_144,0.07806342095136642,1.178402304649353,0.2293920409830855,0.001
step_145,0.07632111012935638,1.1732304096221924,0.226561117710349,0.001
step_146,0.07460217922925949,1.1680536270141602,0.22421415637155498,0.001
step_147,0.0729123055934906,1.1628347635269165,0.22117019976561317,0.001
step_148,0.07124815136194229,1.1575835943222046,0.2181682470275805,0.001
step_149,0.06961037963628769,1.152350902557373,0.21595536679525057,0.001
step_150,0.06799984723329544,1.147110104560852,0.21332776601864245,0.001
step_151,0.06642447412014008,1.141910195350647,0.20982876821234875,0.001
step_152,0.06488294154405594,1.1367608308792114,0.20777675234206922,0.001
step_153,0.06336276978254318,1.131630539894104,0.20578747145139303,0.001
step_154,0.061870135366916656,1.1265336275100708,0.203871638482558,0.001
step_155,0.0604182630777359,1.1214267015457153,0.20147155728394076,0.001
step_156,0.058985136449337006,1.1163156032562256,0.1992794916184426,0.001
step_157,0.057572707533836365,1.1112010478973389,0.19680625750173222,0.001
step_158,0.05618623271584511,1.1060795783996582,0.19456417258388814,0.001
step_159,0.05482437461614609,1.1009365320205688,0.19256751586877427,0.001
step_160,0.05349702760577202,1.0957304239273071,0.189861353074423,0.001
step_161,0.05219291150569916,1.090447187423706,0.1881570657720507,0.001
step_162,0.05090626701712608,1.0851473808288574,0.18560303612310283,0.001
step_163,0.04963906481862068,1.0798792839050293,0.18344023192491057,0.001
step_164,0.04839487001299858,1.0746655464172363,0.1815866632374921,0.001
step_165,0.047190237790346146,1.069553017616272,0.178781611105674,0.001
step_166,0.04601288214325905,1.064515233039856,0.1754030693068233,0.001
step_167,0.04486636444926262,1.0595555305480957,0.17234146011866042,0.001
step_168,0.04374241083860397,1.0546358823776245,0.17037756906246407,0.001
