timestamp,loss,val_loss,grad_norm,learning_rate,train_val_gap,output_variance,effective_rank,representation_variance,collapse_score
step_0,15.014897346496582,14.075506210327148,8.854447515147168,0.001,-0.9393911361694336,0.004594439174979925,7.328952849019018,0.01556106527415525,0.1364451403359554
step_1,14.916034698486328,13.989912986755371,8.870261493065398,0.001,-0.926121711730957,0.004523133859038353,7.221624622390391,0.01596110304056769,0.13847299635313853
step_2,14.818109512329102,13.904943466186523,8.863784771586062,0.001,-0.9131660461425781,0.004468997940421104,7.117511257256974,0.016429547715809706,0.14049854841893022
step_3,14.720836639404297,13.82076644897461,8.865336005249093,0.001,-0.9000701904296875,0.004442657809704542,7.015687903619351,0.01696302218272144,0.1425376974771221
step_4,14.624115943908691,13.737346649169922,8.843077763892353,0.001,-0.8867692947387695,0.004445238970220089,6.913564393755141,0.01756142849801036,0.14464318881636168
step_5,14.528454780578613,13.654836654663086,8.827766309202593,0.001,-0.8736181259155273,0.004480408504605293,6.809161342913453,0.01822106252456322,0.14686096416862512
step_6,14.433608055114746,13.573265075683594,8.83101086491453,0.001,-0.8603429794311523,0.004539347253739834,6.7005699727191645,0.01894562965049167,0.14924103532556485
step_7,14.339814186096191,13.491990089416504,8.823906387730242,0.001,-0.8478240966796875,0.00462042773142457,6.597126554551798,0.019737199303079146,0.15158114547765245
step_8,14.246953964233398,13.410649299621582,8.841600872009359,0.001,-0.8363046646118164,0.004707240499556065,6.499651594052376,0.020592143462299622,0.15385440058280478
step_9,14.154605865478516,13.329967498779297,8.856138728687608,0.001,-0.8246383666992188,0.004807593766599894,6.40289215437749,0.021505449362051118,0.156179422656108
step_10,14.062466621398926,13.249261856079102,8.908980088143492,0.001,-0.8132047653198242,0.004930912517011166,6.3030425379921144,0.022481323949492253,0.15865353818769531
step_11,13.97039794921875,13.16833209991455,8.931169670921047,0.001,-0.8020658493041992,0.005079398397356272,6.206092963139418,0.023522842708145326,0.1611319723921988
step_12,13.878984451293945,13.086871147155762,8.979277501877341,0.001,-0.7921133041381836,0.005255508236587048,6.112444077006136,0.02463222716573277,0.16360067877951012
step_13,13.787503242492676,13.004826545715332,9.018836777671975,0.001,-0.7826766967773438,0.00546254264190793,6.0239219726989495,0.025810573536207432,0.16600480625946112
step_14,13.696639060974121,12.922331809997559,9.057564436195872,0.001,-0.7743072509765625,0.005701507441699505,5.940467469331992,0.027055773123687538,0.168336920480174
step_15,13.605639457702637,12.839900970458984,9.126566453938674,0.001,-0.7657384872436523,0.005977027118206024,5.860028282269539,0.02836977440028088,0.17064764056270196
step_16,13.514164924621582,12.757423400878906,9.197417468136656,0.001,-0.7567415237426758,0.00628247344866395,5.781787290063249,0.029751236810672186,0.17295689893653293
step_17,13.422171592712402,12.6744966506958,9.24332377414582,0.001,-0.7476749420166016,0.006616381462663412,5.709442256685348,0.0311966058727862,0.1751484567216827
step_18,13.329846382141113,12.591130256652832,9.31058761223488,0.001,-0.7387161254882812,0.006982729304581881,5.639322631433619,0.03270466671780826,0.17732626156659204
step_19,13.236955642700195,12.507343292236328,9.382267633140875,0.001,-0.7296123504638672,0.007392928935587406,5.570638266219518,0.03428014630210754,0.17951264329332306
step_20,13.143406867980957,12.423212051391602,9.461441329637575,0.001,-0.7201948165893555,0.007840121164917946,5.5028409887983445,0.03591991151628464,0.1817243133202673
step_21,13.048840522766113,12.338268280029297,9.529666708913652,0.001,-0.7105722427368164,0.008331160061061382,5.4376449583609725,0.03762414314266233,0.1839031433014748
step_22,12.953113555908203,12.252431869506836,9.604014957644212,0.001,-0.7006816864013672,0.008861913345754147,5.37571065245281,0.039396401422302434,0.18602191684995614
step_23,12.856539726257324,12.165640830993652,9.681901587976782,0.001,-0.6908988952636719,0.009445000439882278,5.31602769479206,0.04123814732214181,0.18811038192665314
step_24,12.758975982666016,12.07751178741455,9.75713641821587,0.001,-0.6814641952514648,0.01008524838835001,5.258065868070868,0.04314679362162712,0.19018400018006812
step_25,12.660234451293945,11.98835563659668,9.841103135238173,0.001,-0.6718788146972656,0.01077519915997982,5.2005660842420625,0.04513103763517231,0.1922867595183614
step_26,12.560856819152832,11.89844036102295,9.917622457395028,0.001,-0.6624164581298828,0.011523297056555748,5.143356482055752,0.04719214590500341,0.19442556694034735
step_27,12.460151672363281,11.80786418914795,10.010095470237202,0.001,-0.652287483215332,0.012328465469181538,5.0856164341940975,0.049330836545595586,0.19663299679392102
step_28,12.35838508605957,11.71642780303955,10.07869299786206,0.001,-0.6419572830200195,0.013192621059715748,5.028698874453189,0.051547176786033384,0.19885859642147255
step_29,12.255950927734375,11.623847961425781,10.152433923969806,0.001,-0.6321029663085938,0.014125071465969086,4.972650102902779,0.0538445095121637,0.20110001293198793
step_30,12.152466773986816,11.530299186706543,10.238547287757465,0.001,-0.6221675872802734,0.015125001780688763,4.916188210425122,0.0562188977427781,0.2034096249365372
step_31,12.047625541687012,11.435815811157227,10.326244696323156,0.001,-0.6118097305297852,0.01619388721883297,4.8599637506812225,0.05867941945857577,0.20576285159736626
step_32,11.941594123840332,11.3402681350708,10.404204276622428,0.001,-0.6013259887695312,0.01734105870127678,4.803130254855397,0.06122730729876646,0.20819756012011506
step_33,11.834507942199707,11.243691444396973,10.488103992592844,0.001,-0.5908164978027344,0.01856953464448452,4.744513993077294,0.06385836978779622,0.21076974405789445
step_34,11.726181983947754,11.145833969116211,10.573634484846517,0.001,-0.580348014831543,0.01988435536623001,4.684097432760232,0.06657441069211542,0.21348830043672315
step_35,11.616506576538086,11.046794891357422,10.664484294533503,0.001,-0.5697116851806641,0.021282067522406578,4.623246606716253,0.069377857836689,0.21629821747931127
step_36,11.505267143249512,10.946564674377441,10.757036747365202,0.001,-0.5587024688720703,0.022769009694457054,4.562410413222576,0.0722742685518846,0.21918238593832862
step_37,11.392800331115723,10.845139503479004,10.844205775495904,0.001,-0.5476608276367188,0.02436119131743908,4.500348257851204,0.07526373352432854,0.22220502563449906
step_38,11.278877258300781,10.742565155029297,10.935761088672658,0.001,-0.5363121032714844,0.026057172566652298,4.438601717483271,0.07835441821992223,0.22529617741125224
step_39,11.163520812988281,10.638811111450195,11.025930863306305,0.001,-0.5247097015380859,0.027860915288329124,4.375704447761995,0.08154225327327926,0.22853463069505564
step_40,11.046647071838379,10.533965110778809,11.112878828975035,0.001,-0.5126819610595703,0.029779136180877686,4.311438966815402,0.08482928654201966,0.2319411239952306
step_41,10.928345680236816,10.427927017211914,11.201484127183827,0.001,-0.5004186630249023,0.03181736171245575,4.247315174975089,0.08822247781590022,0.23544285243815585
step_42,10.80859088897705,10.320720672607422,11.288705656932484,0.001,-0.4878702163696289,0.03398149088025093,4.183328468862896,0.09172301759242622,0.23904410266684556
step_43,10.687376976013184,10.212265968322754,11.377649396759093,0.001,-0.4751110076904297,0.03627697750926018,4.119713940252078,0.09533516568208024,0.24273530019387993
step_44,10.564702033996582,10.102678298950195,11.464762748978531,0.001,-0.4620237350463867,0.038707297295331955,4.056277791739628,0.09906255434669373,0.24653143875807554
step_45,10.440566062927246,9.992059707641602,11.551799223463455,0.001,-0.44850635528564453,0.041282445192337036,3.9912273978428816,0.10290215047413095,0.2505494927551522
step_46,10.31494140625,9.88027572631836,11.637619571157607,0.001,-0.4346656799316406,0.04401412978768349,3.9247370722749215,0.10686128099237945,0.254794138202069
step_47,10.187854766845703,9.767215728759766,11.72239850640345,0.001,-0.4206390380859375,0.04691077768802643,3.8572776131463855,0.11094689574883936,0.25925020190193127
step_48,10.059308052062988,9.652955055236816,11.806561069448238,0.001,-0.4063529968261719,0.04997899383306503,3.788358113819152,0.11515945831013441,0.26396659712612847
step_49,9.929344177246094,9.537503242492676,11.890345859829804,0.001,-0.39184093475341797,0.05321909487247467,3.7198653836133397,0.1195080364459724,0.2688269323952355
step_50,9.797924041748047,9.420938491821289,11.972590894076216,0.001,-0.3769855499267578,0.05664295330643654,3.6522963619104223,0.12399857621663951,0.273800343923056
