timestamp,loss,val_loss,grad_norm,learning_rate,train_val_gap,output_variance
step_0,9.949637413024902,11.306848526000977,11.165833823066068,0.001,1.3572111129760742,0.014445033855736256
step_1,9.422024726867676,10.714341163635254,11.383750391206284,0.001,1.2923164367675781,0.019453540444374084
step_2,8.887386322021484,10.116004943847656,11.524804492997479,0.001,1.2286186218261719,0.026175865903496742
step_3,8.3504056930542,9.513760566711426,11.616727963466628,0.001,1.1633548736572266,0.03485046699643135
step_4,7.813906192779541,8.908230781555176,11.739806019839474,0.001,1.0943245887756348,0.04572576656937599
step_5,7.27630090713501,8.302074432373047,11.876250536744266,0.001,1.025773525238037,0.059060972183942795
step_6,6.74164342880249,7.702575206756592,11.933340275478775,0.001,0.9609317779541016,0.0750255137681961
step_7,6.219401836395264,7.114446640014648,11.890847477132905,0.001,0.8950448036193848,0.09400069713592529
step_8,5.71401309967041,6.541569709777832,11.792597705730417,0.001,0.8275566101074219,0.11601228266954422
step_9,5.222015380859375,5.987331390380859,11.66269730811812,0.001,0.7653160095214844,0.1412261575460434
step_10,4.751561164855957,5.4577226638793945,11.335997553507324,0.001,0.7061614990234375,0.16960054636001587
step_11,4.3113017082214355,4.957594394683838,10.925794896400504,0.001,0.6462926864624023,0.20123830437660217
step_12,3.900195360183716,4.49020528793335,10.438547112772772,0.001,0.5900099277496338,0.23630499839782715
step_13,3.5196900367736816,4.059005260467529,9.810327023512887,0.001,0.5393152236938477,0.27490684390068054
step_14,3.1758906841278076,3.668550491333008,9.039602335288166,0.001,0.4926598072052002,0.3167351484298706
step_15,2.8720383644104004,3.321101427078247,8.168288478127613,0.001,0.4490630626678467,0.361533522605896
step_16,2.6091105937957764,3.0185065269470215,7.190594807226835,0.001,0.4093959331512451,0.40890052914619446
step_17,2.389458179473877,2.7617249488830566,6.142267285494278,0.001,0.3722667694091797,0.45822077989578247
step_18,2.2127490043640137,2.5499308109283447,5.059683426931867,0.001,0.33718180656433105,0.5086750984191895
step_19,2.0768954753875732,2.3802785873413086,4.00886375438578,0.001,0.30338311195373535,0.5594027042388916
step_20,1.9780826568603516,2.2484800815582275,3.144448936845411,0.001,0.270397424697876,0.6094254851341248
step_21,1.9099819660186768,2.1483490467071533,2.6803116843948525,0.001,0.23836708068847656,0.6578813195228577
step_22,1.865134835243225,2.073131799697876,2.7739451265232002,0.001,0.20799696445465088,0.7039056420326233
step_23,1.8352160453796387,2.0160584449768066,3.283255871336558,0.001,0.18084239959716797,0.746752142906189
step_24,1.8117873668670654,1.9707242250442505,3.923387105270669,0.001,0.15893685817718506,0.786013662815094
step_25,1.7877861261367798,1.9320968389511108,4.52418511028538,0.001,0.14431071281433105,0.8213386535644531
step_26,1.7576574087142944,1.896520972251892,5.0016901963281635,0.001,0.13886356353759766,0.8526790738105774
step_27,1.717858910560608,1.8619388341903687,5.320609493410567,0.001,0.14407992362976074,0.8801454305648804
step_28,1.666763424873352,1.8277325630187988,5.466303963877113,0.001,0.16096913814544678,0.9039679765701294
step_29,1.604685664176941,1.794256329536438,5.442966083021646,0.001,0.18957066535949707,0.9245991706848145
step_30,1.533501148223877,1.7627733945846558,5.2678585441943255,0.001,0.2292722463607788,0.9425349235534668
step_31,1.4561246633529663,1.73478364944458,4.967013215284836,0.001,0.27865898609161377,0.9583072066307068
step_32,1.375643014907837,1.7118902206420898,4.561680562476599,0.001,0.33624720573425293,0.9723990559577942
step_33,1.2949872016906738,1.6950595378875732,4.088094059512515,0.001,0.4000723361968994,0.9854119420051575
step_34,1.217132329940796,1.6851352453231812,3.568215012988984,0.001,0.46800291538238525,0.9978770613670349
step_35,1.144274353981018,1.6823556423187256,3.0424445177093316,0.001,0.5380812883377075,1.0102734565734863
step_36,1.0777889490127563,1.6860737800598145,2.5371911877265045,0.001,0.6082848310470581,1.0232409238815308
step_37,1.018730640411377,1.6956084966659546,2.080432197186748,0.001,0.6768778562545776,1.0372344255447388
step_38,0.967613160610199,1.709835171699524,1.7235287065114075,0.001,0.742222011089325,1.0526080131530762
step_39,0.9238053560256958,1.727229356765747,1.5030816629173942,0.001,0.8034240007400513,1.0698349475860596
step_40,0.8868675231933594,1.7462818622589111,1.4411382657296485,0.001,0.8594143390655518,1.0890792608261108
step_41,0.855391800403595,1.7654904127120972,1.5046255576437577,0.001,0.9100986123085022,1.110554575920105
step_42,0.8282635807991028,1.7834296226501465,1.6386928878502778,0.001,0.9551660418510437,1.1344528198242188
step_43,0.8044539093971252,1.799007534980774,1.7929958230479526,0.001,0.9945536255836487,1.1609097719192505
step_44,0.7828431725502014,1.8113559484481812,1.9321989538218869,0.001,1.0285127758979797,1.1900438070297241
step_45,0.7625484466552734,1.8198730945587158,2.041840506111414,0.001,1.0573246479034424,1.2218544483184814
step_46,0.7428667545318604,1.8243587017059326,2.1112330362697507,0.001,1.0814919471740723,1.2563512325286865
step_47,0.7233555912971497,1.8247084617614746,2.13886061433715,0.001,1.101352870464325,1.2934298515319824
step_48,0.7038068175315857,1.8210910558700562,2.125009556888132,0.001,1.1172842383384705,1.3330092430114746
step_49,0.6840881109237671,1.8138113021850586,2.071533667371187,0.001,1.1297231912612915,1.3748940229415894
step_50,0.6643605828285217,1.8034558296203613,1.979534581959112,0.001,1.1390952467918396,1.4187179803848267
step_51,0.6448670625686646,1.7906233072280884,1.8592963287815096,0.001,1.1457562446594238,1.4642521142959595
step_52,0.6257917881011963,1.7758480310440063,1.714719222220678,0.001,1.15005624294281,1.5111507177352905
