timestamp,output_variance
step_0,0.010245461948215961
step_1,0.010091045871376991
step_2,0.0099556352943182
step_3,0.009835881181061268
step_4,0.00973712932318449
step_5,0.009661593474447727
step_6,0.009609493426978588
step_7,0.009583428502082825
step_8,0.009582089260220528
step_9,0.009607814252376556
step_10,0.009656415320932865
step_11,0.009729143232107162
step_12,0.009831930510699749
step_13,0.009961212985217571
step_14,0.010114802047610283
step_15,0.010304565541446209
step_16,0.010523480363190174
step_17,0.010775412432849407
step_18,0.011062187142670155
step_19,0.01137595996260643
step_20,0.011712327599525452
step_21,0.012076038867235184
step_22,0.012479844503104687
step_23,0.012933054007589817
step_24,0.013427077792584896
step_25,0.013968242332339287
step_26,0.014552141539752483
step_27,0.01518508605659008
step_28,0.0158630833029747
step_29,0.016579190269112587
step_30,0.0173417367041111
step_31,0.01814858987927437
step_32,0.019005676731467247
step_33,0.019911305978894234
step_34,0.020859407261013985
step_35,0.021845748648047447
step_36,0.022865310311317444
step_37,0.023917457088828087
step_38,0.025006316602230072
step_39,0.026133662089705467
step_40,0.027289707213640213
step_41,0.02847106009721756
step_42,0.02968079410493374
step_43,0.030911723151803017
step_44,0.032159846276044846
step_45,0.033433668315410614
step_46,0.0347309447824955
step_47,0.03605283424258232
step_48,0.03739394620060921
step_49,0.03875362500548363
step_50,0.04012752324342728
step_51,0.041515983641147614
step_52,0.04291946813464165
step_53,0.04433435946702957
step_54,0.04575737938284874
step_55,0.047189656645059586
step_56,0.048630207777023315
step_57,0.05007433518767357
step_58,0.05152226239442825
step_59,0.05297326296567917
step_60,0.05442773550748825
step_61,0.055887263268232346
step_62,0.05735153332352638
step_63,0.058817021548748016
step_64,0.06028154864907265
step_65,0.061746105551719666
step_66,0.06321048736572266
step_67,0.06467333436012268
step_68,0.06613314896821976
step_69,0.06758946925401688
step_70,0.06904125213623047
step_71,0.07048671692609787
step_72,0.07192540168762207
step_73,0.07335589081048965
step_74,0.0747770369052887
step_75,0.07618848234415054
step_76,0.07758880406618118
step_77,0.07897849380970001
step_78,0.08035621792078018
step_79,0.08172253519296646
step_80,0.08307617157697678
step_81,0.08441657572984695
step_82,0.08574255555868149
step_83,0.0870528370141983
step_84,0.08834654837846756
step_85,0.089622363448143
step_86,0.09087954461574554
step_87,0.09211722016334534
step_88,0.09333482384681702
step_89,0.09453238546848297
step_90,0.09570902585983276
step_91,0.09686363488435745
step_92,0.09799539297819138
step_93,0.09910460561513901
step_94,0.1001904234290123
step_95,0.10125262290239334
step_96,0.10228966921567917
step_97,0.103301502764225
step_98,0.10428948700428009
step_99,0.10525360703468323
step_100,0.10619373619556427
step_101,0.10710909217596054
step_102,0.10800090432167053
step_103,0.10886915028095245
step_104,0.10971234738826752
step_105,0.11053160578012466
step_106,0.11132614314556122
step_107,0.11209564656019211
step_108,0.11283984780311584
step_109,0.1135580763220787
step_110,0.1142520159482956
step_111,0.11492330580949783
step_112,0.11557182669639587
step_113,0.1161968931555748
step_114,0.11679818481206894
step_115,0.11737506091594696
step_116,0.11792789399623871
step_117,0.11845728009939194
step_118,0.11896316707134247
step_119,0.1194450855255127
step_120,0.11990393698215485
step_121,0.12033801525831223
step_122,0.12074820697307587
step_123,0.12113529443740845
step_124,0.12150050699710846
step_125,0.12184427678585052
step_126,0.12216766923666
step_127,0.12247118353843689
step_128,0.12275387346744537
step_129,0.12301743775606155
step_130,0.12326234579086304
step_131,0.12348686903715134
step_132,0.12369072437286377
step_133,0.12387271970510483
step_134,0.12403354048728943
step_135,0.12417259812355042
step_136,0.12429171055555344
step_137,0.12439107149839401
step_138,0.1244707703590393
step_139,0.12453155964612961
step_140,0.1245734691619873
step_141,0.1245969608426094
step_142,0.12460363656282425
step_143,0.12459482997655869
step_144,0.124569833278656
step_145,0.12452802062034607
step_146,0.12447081506252289
step_147,0.1243983805179596
step_148,0.12431193143129349
step_149,0.12421242892742157
step_150,0.12409891933202744
step_151,0.12397480756044388
step_152,0.12383987009525299
step_153,0.12369289249181747
step_154,0.12353301793336868
step_155,0.12336000055074692
step_156,0.12317211925983429
step_157,0.122972272336483
