timestamp,loss,val_loss,grad_norm,learning_rate,train_val_gap,output_variance,effective_rank,representation_variance,collapse_score
step_0,14.070328712463379,13.308597564697266,9.424671100187837,0.001,-0.7617311477661133,0.010245461948215961,10.438953072492655,0.017783892191491714,0.09579504697986117
step_1,14.01272201538086,13.2588472366333,9.392840833650121,0.001,-0.7538747787475586,0.010091045871376991,10.403556091099604,0.01745587078736503,0.09612097933085734
step_2,13.955580711364746,13.209796905517578,9.381252391565443,0.001,-0.745783805847168,0.0099556352943182,10.361432521173338,0.01715780060315833,0.09651175143557844
step_3,13.899057388305664,13.161419868469238,9.338872405334433,0.001,-0.7376375198364258,0.009835881181061268,10.31398732980675,0.01688821748642483,0.09695571344266299
step_4,13.843219757080078,13.113299369812012,9.311548069407376,0.001,-0.7299203872680664,0.00973712932318449,10.260397458394431,0.016646080812997868,0.09746211139041802
step_5,13.787592887878418,13.065223693847656,9.285802914882359,0.001,-0.7223691940307617,0.009661593474447727,10.198454048955933,0.01642958837312192,0.09805407713754175
step_6,13.732224464416504,13.017236709594727,9.248440777470721,0.001,-0.7149877548217773,0.009609493426978588,10.129062425009428,0.016236581221722547,0.09872582061799952
step_7,13.677098274230957,12.969067573547363,9.24305194204974,0.001,-0.7080307006835938,0.009583428502082825,10.052765741353081,0.016066007351616257,0.09947511219588034
step_8,13.621674537658691,12.920490264892578,9.232235025590912,0.001,-0.7011842727661133,0.009582089260220528,9.9706939457443,0.01591829601416189,0.10029392191170615
step_9,13.566083908081055,12.871452331542969,9.215649677597133,0.001,-0.6946315765380859,0.009607814252376556,9.88206870075733,0.01579194262040629,0.10119338675750789
step_10,13.51046371459961,12.822203636169434,9.20309534938821,0.001,-0.6882600784301758,0.009656415320932865,9.78708902791946,0.015687444302406216,0.10217542694741176
step_11,13.454645156860352,12.77231216430664,9.213019433162914,0.001,-0.6823329925537109,0.009729143232107162,9.685564427330196,0.015606139386084185,0.1032464351977521
step_12,13.398366928100586,12.721614837646484,9.21206672567754,0.001,-0.6767520904541016,0.009831930510699749,9.577888710708333,0.015548092475840727,0.10440714339079483
step_13,13.341538429260254,12.669894218444824,9.234136205909893,0.001,-0.6716442108154297,0.009961212985217571,9.46382356116781,0.015515715259757111,0.10566553714116397
