seed,condition,timestamp,layer_name,loss,val_loss,grad_norm,learning_rate,effective_rank,representation_variance,collapse_score
42,normal,step_3,layer_0,1.5230497121810913,1.476251482963562,5.167115688323975,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
42,normal,step_3,layer_1,1.5230497121810913,1.476251482963562,5.167115688323975,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
42,normal,step_3,layer_2,1.5230497121810913,1.476251482963562,5.167115688323975,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
42,normal,step_3,layer_3,1.5230497121810913,1.476251482963562,5.167115688323975,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
42,normal,step_3,layer_4,1.5230497121810913,1.476251482963562,5.167115688323975,2e-05,11.339746622950829,0.2709883226292175,0.08818539190073896
42,normal,step_3,layer_5,1.5230497121810913,1.476251482963562,5.167115688323975,2e-05,10.33846466462698,0.3278564692371902,0.09672616122793325
42,normal,step_3,layer_6,1.5230497121810913,1.476251482963562,5.167115688323975,2e-05,11.282801785007925,0.08476758069714437,0.08863046777341729
42,normal,step_6,layer_0,1.4220764636993408,1.349549412727356,3.578399896621704,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
42,normal,step_6,layer_1,1.4220764636993408,1.349549412727356,3.578399896621704,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
42,normal,step_6,layer_2,1.4220764636993408,1.349549412727356,3.578399896621704,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
42,normal,step_6,layer_3,1.4220764636993408,1.349549412727356,3.578399896621704,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
42,normal,step_6,layer_4,1.4220764636993408,1.349549412727356,3.578399896621704,2e-05,11.2779695002753,0.2702634993190241,0.08866844337321443
42,normal,step_6,layer_5,1.4220764636993408,1.349549412727356,3.578399896621704,2e-05,9.915456207809404,0.32366036518054425,0.10085264651891669
42,normal,step_6,layer_6,1.4220764636993408,1.349549412727356,3.578399896621704,2e-05,10.427919997912344,0.09279097235795002,0.0958964012190541
42,normal,step_9,layer_0,1.3283569812774658,1.1969363689422607,3.7017111778259277,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
42,normal,step_9,layer_1,1.3283569812774658,1.1969363689422607,3.7017111778259277,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
42,normal,step_9,layer_2,1.3283569812774658,1.1969363689422607,3.7017111778259277,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
42,normal,step_9,layer_3,1.3283569812774658,1.1969363689422607,3.7017111778259277,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
42,normal,step_9,layer_4,1.3283569812774658,1.1969363689422607,3.7017111778259277,2e-05,11.194288375383532,0.269080238451374,0.08933127023947501
42,normal,step_9,layer_5,1.3283569812774658,1.1969363689422607,3.7017111778259277,2e-05,9.44181793487689,0.3154952805788059,0.10591180712202951
42,normal,step_9,layer_6,1.3283569812774658,1.1969363689422607,3.7017111778259277,2e-05,9.450382052306898,0.10677872460107225,0.10581582781152152
42,normal,step_12,layer_0,0.9710748791694641,1.0133548974990845,4.63552713394165,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
42,normal,step_12,layer_1,0.9710748791694641,1.0133548974990845,4.63552713394165,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
42,normal,step_12,layer_2,0.9710748791694641,1.0133548974990845,4.63552713394165,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
42,normal,step_12,layer_3,0.9710748791694641,1.0133548974990845,4.63552713394165,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
42,normal,step_12,layer_4,0.9710748791694641,1.0133548974990845,4.63552713394165,2e-05,11.077722844736897,0.26766537005940116,0.09027126007897074
42,normal,step_12,layer_5,0.9710748791694641,1.0133548974990845,4.63552713394165,2e-05,8.89371076933831,0.30508727202871905,0.11243900616237373
42,normal,step_12,layer_6,0.9710748791694641,1.0133548974990845,4.63552713394165,2e-05,8.413067766473956,0.13017515284129225,0.11886270594241452
42,normal,step_15,layer_0,0.9028030633926392,0.8128054738044739,4.4501519203186035,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
42,normal,step_15,layer_1,0.9028030633926392,0.8128054738044739,4.4501519203186035,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
42,normal,step_15,layer_2,0.9028030633926392,0.8128054738044739,4.4501519203186035,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
42,normal,step_15,layer_3,0.9028030633926392,0.8128054738044739,4.4501519203186035,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
42,normal,step_15,layer_4,0.9028030633926392,0.8128054738044739,4.4501519203186035,2e-05,10.946536910993125,0.2661735611934568,0.09135309259275817
42,normal,step_15,layer_5,0.9028030633926392,0.8128054738044739,4.4501519203186035,2e-05,8.344963326595211,0.29387609078564497,0.11983276149495138
42,normal,step_15,layer_6,0.9028030633926392,0.8128054738044739,4.4501519203186035,2e-05,7.675885185698182,0.16233319493103798,0.13027813415750591
42,normal,step_18,layer_0,0.6788607835769653,0.6113975048065186,3.956688404083252,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
42,normal,step_18,layer_1,0.6788607835769653,0.6113975048065186,3.956688404083252,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
42,normal,step_18,layer_2,0.6788607835769653,0.6113975048065186,3.956688404083252,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
42,normal,step_18,layer_3,0.6788607835769653,0.6113975048065186,3.956688404083252,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
42,normal,step_18,layer_4,0.6788607835769653,0.6113975048065186,3.956688404083252,2e-05,10.810087458293333,0.26476539018279166,0.0925061895991244
42,normal,step_18,layer_5,0.6788607835769653,0.6113975048065186,3.956688404083252,2e-05,7.86386556487785,0.2831387888483116,0.12716392361363227
42,normal,step_18,layer_6,0.6788607835769653,0.6113975048065186,3.956688404083252,2e-05,7.323854692050701,0.20006345892595037,0.13654012020273945
42,normal,step_21,layer_0,0.5125235319137573,0.43160203099250793,3.3195011615753174,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
42,normal,step_21,layer_1,0.5125235319137573,0.43160203099250793,3.3195011615753174,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
42,normal,step_21,layer_2,0.5125235319137573,0.43160203099250793,3.3195011615753174,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
42,normal,step_21,layer_3,0.5125235319137573,0.43160203099250793,3.3195011615753174,2e-05,14.453963371773305,0.21491528818367142,0.06918517601565732
42,normal,step_21,layer_4,0.5125235319137573,0.43160203099250793,3.3195011615753174,2e-05,10.66903622407094,0.26365410384179494,0.09372917843730351
42,normal,step_21,layer_5,0.5125235319137573,0.43160203099250793,3.3195011615753174,2e-05,7.454082448355963,0.27488666745582163,0.13415467388887753
42,normal,step_21,layer_6,0.5125235319137573,0.43160203099250793,3.3195011615753174,2e-05,7.067800315586812,0.23699151736994936,0.14148673637463594
42,normal,step_24,layer_0,0.39594361186027527,0.28545480966567993,3.1104586124420166,2e-05,21.74148410229719,0.05488300130522902,0.04599502017869796
42,normal,step_24,layer_1,0.39594361186027527,0.28545480966567993,3.1104586124420166,2e-05,16.45862295510132,0.11265048679550517,0.06075842448836535
42,normal,step_24,layer_2,0.39594361186027527,0.28545480966567993,3.1104586124420166,2e-05,15.865031900735815,0.136913877041231,0.06303170433295002
